current_ratio,debt_to_equity,ebitda_margin,icr,dscr,altman_z_score,industry,defaulted_in_12_months
3.7031,3.2915,13.3991,10.6457,4.7608,-1.1359,SaaS,1
0.5363,2.1886,11.3337,0.3807,-0.3956,7.3889,SaaS,0
0.9447,1.3838,34.2634,9.4022,-0.9945,1.1124,Construction,0
0.3719,2.7909,16.8738,2.0175,4.3902,3.1266,Retail,1
1.4363,1.735,2.1702,5.4525,2.6827,-0.9116,Retail,0
1.677,4.6643,-1.9289,-1.7133,1.0659,-1.2907,Logistics,0
1.2311,4.6132,-17.3577,0.5774,2.0128,2.2955,Construction,1
3.3492,2.5119,20.8237,-0.4346,3.2193,5.417,Logistics,0
1.5557,1.6394,-3.9027,2.0757,3.4112,0.6936,Construction,0
1.2676,3.6857,-9.6306,-0.2997,4.4393,3.6235,Retail,0
2.2622,0.1836,25.7681,9.7625,0.9879,0.7865,SaaS,0
0.7355,2.3738,27.6846,-1.5063,0.0539,1.8861,Construction,0
3.2483,1.6816,32.6508,8.5016,2.4776,7.0645,Retail,0
0.4833,4.6027,15.2504,0.392,0.9101,6.5584,Retail,1
3.9502,0.06,42.5838,14.0677,2.1622,3.1602,Retail,0
3.1345,2.7641,45.544,13.8626,0.9399,0.3811,SaaS,1
0.9551,3.7033,36.516,1.8336,-0.929,-0.0682,Retail,1
0.221,2.4251,24.4915,8.4452,1.286,7.5409,Logistics,0
3.2988,0.427,1.2605,-1.5239,2.8364,0.0272,Retail,0
2.8861,4.8623,48.8061,13.8404,3.595,6.0817,Retail,0
2.9702,2.5901,-0.8105,6.8908,1.4533,1.6897,Construction,0
3.1308,3.0709,-5.814,-1.2652,-0.8433,7.8566,Construction,1
0.4814,1.183,10.9508,3.8225,0.9028,1.6816,Construction,0
1.5622,2.4175,-16.0212,-0.6936,3.5041,1.5152,Retail,0
0.6403,2.1457,48.4946,4.6801,0.89,4.3746,Retail,0
3.4798,0.3745,21.1903,9.3887,2.8757,7.6152,Logistics,0
2.5685,0.5308,18.9866,5.9881,1.5505,7.7621,SaaS,0
1.4574,4.1874,25.9057,4.5233,-0.3114,5.0721,Retail,1
0.4415,1.1991,14.7917,0.0257,3.5731,5.5461,SaaS,0
1.3817,0.9748,-17.7556,2.164,-1.4105,3.634,Retail,0
1.4357,2.5246,22.8618,-0.2976,1.6742,5.5578,SaaS,0
2.9725,3.8437,30.1322,11.7275,-0.5378,6.5978,Construction,0
2.6227,0.3097,9.1724,0.2991,-1.5305,2.861,Retail,0
3.5714,2.884,33.0107,8.1213,1.5205,4.1986,Logistics,0
1.9944,0.5961,-4.1099,3.8266,1.4969,3.3732,SaaS,0
0.6545,0.1823,-4.5106,1.8416,2.9483,3.6247,Construction,0
2.9103,0.2637,-8.7008,8.871,3.2133,6.9005,Logistics,0
3.091,4.1708,6.0396,5.769,3.0945,1.5562,Construction,0
2.3329,0.5899,39.2908,4.8025,0.8669,0.0818,Retail,0
3.1297,0.2258,37.9538,8.0785,2.4218,2.5628,Logistics,1
2.0764,2.1895,6.7977,6.3515,2.0386,0.0809,SaaS,0
2.1864,4.22,21.2383,3.1592,0.9509,2.984,SaaS,0
1.8247,1.312,30.4571,7.504,2.1805,7.0351,Logistics,0
0.2966,2.1086,-3.1155,9.3815,4.6307,4.1743,SaaS,0
0.61,0.1996,-8.2301,-1.5462,-0.6497,6.5543,Construction,1
0.3194,2.2454,48.0467,5.9198,4.3404,-0.3381,Logistics,0
2.6184,2.8881,23.229,-1.0194,-1.6258,7.0087,SaaS,0
1.3946,2.8545,48.6991,1.1689,0.1587,4.0179,Construction,0
2.1326,1.6621,3.6429,7.5286,0.017,-1.6824,SaaS,1
3.6488,1.5777,29.2122,12.7252,2.3846,4.3312,Construction,1
1.1473,0.5331,-4.4177,13.0077,-1.0814,7.514,Retail,0
1.7595,1.834,-1.716,-0.811,4.1764,-1.2083,Construction,0
3.0711,0.4975,15.8331,5.1248,3.7999,3.8246,SaaS,0
1.0694,3.833,2.3733,7.9111,2.5645,7.1548,Construction,0
0.4925,4.8314,-8.2665,0.5002,1.2089,-1.903,SaaS,1
1.3011,4.8504,-1.5984,11.0123,4.5307,4.3091,Logistics,0
0.8126,4.3254,-17.4976,10.652,3.8152,2.749,Logistics,0
3.7329,3.004,29.3097,13.3568,1.4952,1.4699,Retail,1
3.2709,3.5043,14.4482,-1.8557,2.9131,4.2754,Construction,0
2.6069,1.426,-13.403,1.6836,1.9685,-1.473,Retail,0
3.5116,3.1539,-7.9814,12.0622,2.1156,5.5306,Logistics,0
3.254,2.2782,-12.8226,9.3999,0.3168,-1.9552,Construction,0
0.909,2.4101,22.8815,13.2046,1.2346,1.0694,Construction,0
3.5917,3.7889,-13.4053,-1.0279,-1.4531,3.0396,Retail,1
2.2495,1.4096,32.7998,8.1484,0.5014,1.7702,Retail,0
3.2683,1.5902,-18.5642,7.6738,2.8708,1.0748,Construction,0
3.6051,4.6232,-2.5437,-1.3935,4.6725,6.3084,Construction,0
1.4084,0.2811,42.3467,6.7299,4.7414,7.3483,Construction,0
0.6182,2.4282,30.2972,8.3618,1.8901,6.7371,Retail,0
1.0662,4.564,-14.8922,1.252,2.2464,3.2243,SaaS,0
1.823,3.0518,37.4788,2.6466,-0.7,6.8416,Logistics,0
3.3085,2.732,14.5125,8.8859,2.8672,7.2086,Logistics,0
3.4708,1.2487,39.2748,5.9611,-1.5054,2.0924,Retail,0
0.2264,1.7164,22.0518,12.5862,-0.0072,0.8345,Construction,1
2.1408,4.2602,27.7283,3.8205,2.6785,-1.0173,Logistics,1
1.7862,2.7961,49.5451,2.5332,0.1722,2.7909,Logistics,1
1.044,2.5737,-3.7365,14.7427,-1.6511,7.463,Logistics,0
0.6555,0.4979,23.6762,13.4893,3.8231,3.6091,Logistics,0
1.4829,0.0801,12.2225,-1.5071,0.1723,4.6756,Construction,0
3.7831,4.8184,-17.2384,11.1024,-1.5583,-0.8712,Retail,1
1.4282,1.8849,-18.9871,-0.1243,-1.4765,-0.5648,Construction,0
2.1714,3.0161,-11.654,-1.5328,-0.2377,2.6447,Construction,0
2.8715,0.3986,25.4364,2.6528,-0.7539,7.5126,Logistics,1
1.5818,3.4156,19.7014,2.5789,3.4201,1.6078,Logistics,1
3.8928,4.6628,18.7401,11.9284,0.2518,6.7748,Construction,0
3.8573,2.8783,-17.77,10.0813,3.6329,-0.7971,Construction,0
1.1568,0.6306,12.8512,14.6874,-0.7831,4.1702,Construction,0
2.0895,2.9086,44.7236,10.0957,1.4502,4.0061,SaaS,0
1.3433,3.8317,7.8314,5.1103,2.8163,6.5987,Logistics,0
1.2824,2.0321,23.7446,9.8818,2.5639,-1.9668,Retail,1
0.3402,4.3992,34.5873,14.9908,2.2079,-0.1007,Retail,1
2.5163,3.2434,34.8748,10.0724,4.4738,0.1969,Retail,0
2.1102,4.4962,16.3496,10.9486,-0.4003,7.4997,SaaS,0
0.3956,3.1175,40.0566,13.9522,1.456,-0.4631,SaaS,1
1.2589,0.6564,7.3965,-0.0679,4.1879,-1.6304,Retail,0
3.6514,1.5485,42.2085,9.9813,-1.4547,3.3446,Retail,0
1.1103,1.009,-3.1841,12.4637,-1.6088,3.2856,Retail,0
0.7506,4.5441,-0.3849,14.2244,-0.3669,6.4405,Construction,1
2.0599,3.802,-16.2816,1.5865,2.4311,7.4886,Logistics,0
3.9455,3.382,35.6907,6.5668,-0.1808,3.3855,SaaS,0
1.1198,1.5048,9.1939,9.5694,-0.6683,7.2999,SaaS,0
2.7541,0.9202,-3.9618,2.207,1.2116,5.2516,Construction,0
3.0942,3.7823,-3.7747,8.208,2.2952,0.6456,SaaS,1
1.103,2.3708,43.098,2.3788,-0.2601,7.2842,Retail,0
2.9672,1.1289,38.3742,3.6688,0.1048,4.6744,SaaS,0
1.5976,3.0831,18.7472,5.5058,2.2949,2.141,Construction,0
2.6028,0.2017,23.1278,6.9962,4.6202,4.8024,Logistics,0
2.6074,1.6309,13.2028,5.6392,2.7232,2.0131,Retail,1
2.2359,2.3428,7.4167,6.3843,3.4803,-0.8582,SaaS,1
0.5431,0.7398,44.0834,3.076,0.5677,5.1898,Retail,0
3.3741,4.9233,-11.2071,0.7024,-0.0942,6.2409,Logistics,1
1.419,1.0455,9.2913,-1.1951,1.1799,5.2881,SaaS,1
0.9088,0.6518,4.1193,1.3316,3.6499,0.2911,Retail,0
0.3549,1.0177,14.8706,7.893,1.1941,7.5664,Construction,1
2.4454,3.8453,12.0342,11.364,3.9271,-1.7475,Construction,0
2.7747,2.1275,16.3223,0.8772,4.9214,1.3269,Logistics,0
0.263,2.8271,-10.2057,-0.1546,-1.4958,0.6009,Logistics,1
2.146,0.105,15.9199,10.7379,-1.6821,-1.5187,Logistics,1
1.0607,0.1722,-3.0307,3.1877,-0.9529,2.0573,SaaS,0
2.6517,2.2291,-7.0968,14.1755,0.6906,4.2311,Logistics,0
0.8626,4.0833,-15.4616,10.1434,-1.0827,6.8255,SaaS,1
2.8256,4.4262,33.3857,3.5549,4.0947,7.8969,Retail,0
1.6696,0.4335,9.9209,2.9222,-1.838,6.0809,Construction,0
3.7596,2.6918,23.8651,6.9029,0.2105,2.6868,Retail,0
0.7226,4.5661,30.9315,-0.6545,-0.7071,5.237,Construction,0
1.4961,1.9399,27.5522,0.0005,4.5208,6.4362,Logistics,0
0.6312,4.1478,12.9351,0.9896,2.6864,2.6531,Retail,0
3.7138,0.6685,7.1529,11.1703,4.3842,5.8505,Retail,0
3.5339,4.677,6.3172,6.7356,4.8063,2.8265,Logistics,0
1.1802,3.7571,24.8034,-1.8204,1.4797,1.865,Retail,0
2.7079,4.7067,14.6356,9.4498,-0.3598,3.2609,SaaS,0
3.3054,3.3831,39.4393,5.2027,-0.6439,4.7585,Construction,1
2.3098,1.817,41.2291,6.6845,-0.4396,5.2688,Logistics,0
2.2127,4.6909,-8.0608,1.64,2.9602,1.5674,SaaS,0
1.119,1.3778,-10.4636,7.3803,-1.7169,3.7132,SaaS,0
0.5538,1.6609,24.1281,14.6456,-1.6405,7.0987,Logistics,0
3.6094,3.504,1.0858,-0.7514,2.257,7.7631,Retail,0
3.6216,3.8266,-18.7,2.8266,2.4944,0.2725,Construction,1
2.6058,4.647,42.205,2.131,2.6568,-0.0717,SaaS,0
1.4883,1.024,-4.1169,2.2253,0.6032,4.7669,Retail,0
1.527,3.99,45.0496,4.438,3.6416,2.1468,Logistics,0
2.9586,3.6927,30.2204,11.9079,1.7354,-1.7578,Logistics,0
3.609,0.319,33.3857,13.5186,-1.2617,1.4686,Construction,0
3.5709,1.9361,-5.8977,1.4377,3.5797,6.0674,Logistics,0
3.1635,1.4138,-3.6064,7.2301,4.6715,5.9743,Construction,1
2.6397,1.5225,16.4887,8.8273,-1.5797,2.9469,Logistics,0
0.5197,4.9147,-7.953,6.8711,0.7395,2.7258,Logistics,0
0.8142,3.2139,1.3802,5.3793,1.4126,3.7951,SaaS,0
3.6145,3.5884,2.5024,1.2636,-0.9747,0.194,Retail,0
2.5044,4.8831,-8.8259,6.2997,4.074,3.2604,SaaS,0
0.2349,1.886,-5.6372,4.8207,-0.011,-1.8895,Construction,1
0.5856,4.0092,35.1986,11.5246,3.4811,2.7556,SaaS,0
2.7213,2.1727,-8.2963,10.9813,2.697,1.3605,Logistics,0
0.2192,4.3477,-18.008,0.278,2.1863,4.7487,Logistics,0
0.8111,0.9033,24.0548,-0.4952,-0.655,4.3835,Retail,1
2.2852,4.7384,48.3188,13.4386,-0.4551,1.8084,Construction,0
2.8292,1.0939,3.185,7.1036,-1.6686,-1.9273,Logistics,0
2.6775,1.6311,-11.6941,12.5826,-0.315,0.5227,Retail,1
1.0522,3.781,19.9271,-1.0114,0.4181,4.3335,Retail,0
2.9063,1.9688,43.4448,6.9508,3.832,-1.2763,Logistics,0
1.1015,3.0411,34.8843,7.1703,0.5647,-0.9236,Logistics,1
1.4365,2.2229,23.5761,12.6319,3.2824,4.4704,Construction,0
3.0367,3.7118,2.054,-0.3406,1.0761,5.5577,Retail,0
2.6686,1.1417,17.9316,2.0876,3.4941,1.2155,Retail,0
3.427,0.2923,-13.6129,4.9112,4.8339,2.8967,Retail,0
2.6989,1.4996,27.5262,12.7193,-0.3211,7.4571,Construction,1
2.3596,2.3715,30.7567,13.961,4.0364,7.4554,Retail,0
0.556,0.8401,47.5522,14.8763,2.3528,1.075,SaaS,1
1.5973,1.774,-1.7722,14.3063,3.7211,6.0999,SaaS,0
1.2078,1.9999,-18.7081,-1.899,2.5611,3.9394,Retail,0
1.1272,0.287,18.1926,-1.189,0.9676,7.7548,SaaS,0
3.8974,2.9165,29.4753,0.5093,-0.4035,2.7761,SaaS,0
1.6938,4.4217,35.3285,3.9307,-1.5098,5.7471,Construction,0
3.5898,0.7587,-6.4383,12.1086,1.7486,5.6814,Retail,0
2.5983,2.989,-1.6773,13.1752,4.9323,2.9743,Construction,0
3.2203,3.3237,15.8814,1.1762,3.1663,5.9563,Retail,0
2.11,2.0967,3.1421,8.5343,0.2914,0.6104,Logistics,1
2.3922,3.5055,40.2358,13.5952,3.7904,-0.7775,SaaS,0
2.0716,2.0537,13.1632,5.8834,3.3829,2.2516,Construction,1
0.9419,2.5232,35.9705,-0.2398,-0.0285,7.4363,Construction,0
2.9453,0.0368,20.6434,5.7828,-1.8998,3.0074,Logistics,0
1.2669,3.4586,34.1163,4.3885,-1.1729,4.3526,Logistics,0
0.2924,3.3067,3.2871,7.8202,4.1411,4.2416,SaaS,1
2.6528,0.192,38.1992,5.4572,3.8559,-0.6743,SaaS,0
0.873,1.8413,-0.7799,-1.7051,0.0665,1.903,Retail,0
3.7737,4.8952,18.2269,14.898,-0.0036,5.0694,Retail,0
3.8249,2.1037,-5.0195,7.2402,3.5501,7.7199,Logistics,0
3.6765,2.5097,13.2869,6.0517,4.5642,-0.3198,SaaS,1
1.6066,4.5497,2.2723,14.2285,3.454,2.1044,SaaS,1
0.2587,3.5863,-1.3308,0.6496,2.2391,-1.0491,Logistics,1
3.7276,2.9104,47.689,1.217,-0.3013,0.4238,Logistics,1
1.8271,3.989,-8.7948,11.7363,1.6802,1.7676,Construction,0
3.8733,4.3218,35.1128,2.4341,-0.3654,3.4064,Logistics,0
3.8618,2.2844,48.8915,11.5869,3.6561,0.3057,Construction,0
3.4414,2.3755,-18.6069,2.6161,0.7087,0.2756,Retail,1
1.3189,1.9303,28.9319,-1.4358,3.8359,5.7783,Logistics,0
1.6634,4.8335,-2.2962,6.7893,0.6713,7.6264,Logistics,0
3.4343,3.4858,-17.1659,1.3437,3.769,1.2361,Logistics,0
1.4043,0.4161,8.2023,10.8834,0.3332,4.8799,Construction,1
0.8441,4.3148,45.4652,8.9004,1.0809,0.5808,Logistics,0
2.3158,2.4028,-19.1764,13.7012,2.3084,7.2795,Logistics,0
3.7574,0.3438,21.152,11.3108,-1.508,4.729,SaaS,0
2.8449,2.7486,15.0978,1.0732,4.6374,6.0268,SaaS,0
2.3662,2.0858,41.1369,11.6027,2.0152,-1.5065,SaaS,0
0.5693,4.3887,-14.1199,8.9095,1.5547,3.9851,Logistics,0
2.537,1.02,27.7068,9.3722,3.8758,3.2761,SaaS,0
3.9622,4.1323,27.6077,12.1485,4.0603,0.93,Retail,1
0.7323,2.7884,26.8356,7.755,1.6558,0.6243,SaaS,0
2.1697,0.2731,45.9634,5.9221,4.4908,3.8002,Logistics,0
3.534,4.8592,37.6161,8.8229,-1.5468,5.0649,SaaS,0
3.0149,2.5631,-17.0619,3.0653,-1.2074,-1.6683,SaaS,1
2.8487,1.4544,12.9758,1.1042,2.1775,3.674,SaaS,0
2.8694,2.347,7.8567,8.482,0.4785,-0.2954,Retail,0
1.5661,4.2893,1.7103,1.9754,1.2496,-0.5964,Retail,0
1.3156,1.5245,11.5936,-0.6414,0.2966,4.2312,Construction,1
3.2756,0.9634,6.8936,-1.9906,0.8331,1.1087,Logistics,0
3.2784,0.6454,10.2634,8.3414,3.7585,2.4088,Retail,0
3.4949,1.4893,48.5483,4.1565,2.1543,1.6,Retail,0
3.6703,3.9002,-13.7957,10.7893,4.9814,4.4834,Retail,0
2.1431,2.3581,44.5562,4.378,3.5082,2.7012,Logistics,0
2.1058,1.1374,13.6166,6.2621,-0.0843,7.6346,Construction,1
3.2335,0.8309,23.662,4.9204,-0.1496,1.5238,Logistics,0
2.6699,1.6636,38.1128,9.0598,0.3513,5.4028,SaaS,0
2.8675,4.6996,5.2324,4.0544,3.9028,0.5729,Construction,1
3.224,1.7151,10.1295,14.3841,-1.809,3.0875,SaaS,1
3.582,4.9406,8.6663,13.9145,-0.3887,3.5257,Retail,0
1.4844,2.4262,6.2312,12.4165,4.3344,1.2911,Logistics,1
1.6272,0.8958,44.7871,13.6451,2.4793,2.7178,SaaS,0
0.5571,4.4557,38.0251,5.6354,-0.4121,0.7928,Construction,1
2.3975,2.3018,-12.37,7.1193,-0.466,-1.94,SaaS,1
0.3366,3.5484,-12.4314,10.6156,4.0383,0.1565,SaaS,1
1.9693,4.9186,9.9509,9.8345,4.2563,5.0006,Retail,0
2.262,0.2509,-13.094,13.1415,-0.2071,5.7096,SaaS,1
1.2889,0.4835,23.3365,10.1776,0.9436,0.802,SaaS,1
2.4452,3.6023,-9.9416,14.964,3.8422,2.0804,Retail,0
0.3159,1.4091,16.5661,3.9246,3.3971,-1.6263,Construction,0
0.3419,0.9215,-19.4946,12.161,3.6974,0.3706,Retail,0
3.3259,0.1968,2.1617,9.8598,1.6288,5.7922,SaaS,0
1.5687,0.1092,27.4034,9.7536,4.3808,4.0599,Logistics,0
0.6828,3.8724,13.8827,3.5392,0.2817,0.0577,Retail,1
2.1845,0.6722,48.4789,11.3552,-0.9033,0.5744,Retail,1
3.126,2.3386,41.1873,13.3064,2.9611,6.168,SaaS,0
1.0201,3.0295,5.135,1.7153,1.7755,0.0908,Logistics,1
2.567,2.1418,-16.8159,8.6334,3.9821,1.3416,Construction,0
0.5243,0.1355,39.1938,4.6663,-1.4319,4.6436,Logistics,1
0.3964,3.9175,43.7864,14.8223,3.9058,3.6111,Retail,0
2.2191,0.0526,37.4439,6.1402,0.0531,2.6087,Logistics,0
2.2544,3.8094,-11.0435,1.8814,2.584,6.9974,Construction,0
2.6222,4.4665,49.8541,4.4916,-1.7191,0.1971,Logistics,1
2.9591,2.1642,-1.8991,9.1153,2.2671,5.4142,Logistics,0
3.9082,2.6777,30.6943,-0.7065,3.0209,-0.4094,Logistics,0
2.1619,2.3849,43.5624,8.2612,0.5813,4.1573,Retail,0
1.4272,1.946,-3.5019,13.8308,-0.4921,6.7062,SaaS,0
3.2217,4.4371,43.5781,12.4562,1.7634,2.579,SaaS,0
1.2292,4.4697,1.6637,-0.8495,3.8323,5.2429,Logistics,0
1.8681,1.6791,48.3489,14.8876,0.2648,6.2039,Retail,0
0.4981,3.0753,-0.3118,9.8784,-0.2327,-0.6397,Retail,1
0.2963,4.6345,46.7405,0.7588,-0.0475,5.0583,Retail,1
3.8581,4.8103,-16.2519,-1.7889,4.6439,7.1984,SaaS,0
3.3767,2.5448,29.649,0.9118,0.5149,3.7637,Retail,0
2.8447,2.2641,17.2478,12.249,-1.9748,-0.1388,Logistics,1
1.754,1.3935,13.4514,-1.6321,3.4718,-0.7306,SaaS,0
0.8585,4.7944,-4.3554,1.9635,2.8949,0.5974,Retail,0
0.7945,0.7141,29.3917,10.8742,-1.1,-0.9649,Logistics,1
1.1509,2.8991,-6.6433,7.9639,4.8943,3.1339,SaaS,0
2.2871,1.4128,18.6989,11.3065,2.2564,-1.303,Retail,0
2.9155,1.395,-2.2728,10.6846,1.5055,0.234,Construction,0
2.7088,2.0248,46.8935,-1.1398,0.6755,2.3991,Logistics,1
1.2637,4.994,-17.9958,13.1727,4.2907,2.7391,Construction,0
3.8285,0.2748,-6.019,1.8595,-0.2923,3.654,SaaS,0
3.004,2.8927,-3.0383,7.4077,0.0004,5.0561,Retail,1
2.3065,0.4129,8.9847,8.9529,-1.1431,-1.5277,Logistics,1
2.5245,0.7726,-3.7089,0.8667,3.3138,-1.1938,Logistics,0
1.7945,2.1978,14.3944,14.5959,2.1688,-1.3914,Logistics,0
1.1414,2.5523,41.0726,6.2987,2.2635,2.2315,Construction,0
1.5527,1.294,29.8444,-1.0201,-0.4707,-1.5815,Retail,0
3.0798,1.5823,20.5973,13.9335,2.5582,5.4608,Retail,0
0.2547,0.4348,-13.7698,7.9666,3.3582,0.23,Retail,0
0.6411,1.5161,28.5794,9.8863,0.5052,7.3921,Construction,0
0.3748,4.8328,-8.351,6.928,3.6094,2.864,SaaS,0
0.3548,4.7235,35.0457,12.1905,0.4415,2.4633,Construction,0
3.4508,1.6744,-2.496,-1.4367,3.307,5.8054,SaaS,0
2.8739,2.8543,9.1934,2.5624,-1.7639,5.1315,Construction,0
2.0019,4.548,4.5329,5.984,1.8582,4.0731,Retail,0
0.5718,0.0309,40.117,-0.6977,4.7867,7.3515,Retail,0
2.0681,4.0534,-11.1419,10.0004,4.8687,2.2226,Retail,1
1.9992,4.7418,19.5951,4.6923,-0.0277,6.0853,Construction,0
0.8582,0.4566,-10.0557,2.6354,1.0898,1.8009,Logistics,0
1.8486,0.8072,29.3357,-1.9426,-1.5592,6.3835,Construction,1
1.7143,4.8037,43.3555,10.2371,4.1134,0.5947,SaaS,0
2.5402,2.6877,10.4225,12.1748,1.98,0.8927,Construction,0
2.6134,0.071,14.1665,4.7157,0.6957,4.7787,SaaS,1
0.3722,1.2882,44.9196,7.5917,-1.2106,0.1271,Construction,1
1.6235,2.2497,16.4694,1.8707,4.6274,0.2915,Logistics,0
2.5783,3.4645,14.1319,8.5774,1.7115,1.0526,Logistics,0
2.1119,3.6658,20.483,-1.7937,-0.0195,4.7893,Retail,0
3.4547,4.9771,28.2461,6.3069,0.4515,6.8939,Logistics,1
2.703,1.4376,-12.5182,8.9515,-0.1051,4.7457,Construction,0
0.8192,2.6911,37.4777,13.6093,2.2127,6.2781,Logistics,0
0.4682,2.6666,10.4854,4.4827,4.5097,3.4356,Retail,0
2.6412,2.0282,-14.9356,11.0082,3.9969,-1.3108,Construction,0
0.3007,0.8458,35.0328,8.1607,1.2227,-0.9953,SaaS,0
2.4259,4.8873,6.3865,13.7592,3.7855,3.5439,Construction,0
3.7729,4.2666,-12.9743,4.7724,0.9617,1.278,Retail,1
2.3868,2.4917,24.3645,3.4246,-0.2339,0.2057,Logistics,1
1.675,3.0162,41.6092,13.0814,4.8839,2.6626,Logistics,0
2.6445,1.1363,42.1427,-1.1628,0.1272,4.665,Construction,0
1.9414,2.7189,47.0364,0.3186,0.2661,1.8499,SaaS,0
2.2733,3.4749,40.7394,-0.5991,4.9279,6.0254,SaaS,0
3.7776,2.5758,-19.8501,12.3329,-1.0625,5.3852,SaaS,1
1.6672,4.9514,6.6169,-1.8197,3.3237,5.3491,SaaS,0
3.8525,3.0567,37.298,12.6482,4.5507,7.8519,Construction,0
3.6403,1.8549,5.6377,5.6716,1.5826,0.9523,Logistics,0
0.944,3.8608,22.1084,-1.9316,-1.9823,4.4473,SaaS,1
0.4636,0.8523,22.4422,4.828,0.6254,6.5548,Construction,0
0.583,1.9226,5.5518,1.1756,-1.219,3.7952,Construction,1
0.2692,1.7348,43.3132,8.6148,0.9133,5.895,Construction,0
0.5589,2.159,15.226,9.5491,3.5302,2.1445,SaaS,0
2.7954,3.9089,12.5349,6.288,1.071,3.9049,SaaS,1
0.4705,2.4209,49.826,-1.3112,1.0235,-1.4433,Construction,0
1.4121,3.9701,14.545,9.1542,1.8975,7.8577,Construction,0
3.4105,2.8824,-7.5121,12.3147,2.0718,6.0002,Construction,0
